i,h,m,t_500,T,V,n_H,n_e,Ptotal,P_gas,s
1.0,2735.0,2.376e-06,0.0,447000.0,11.28,454400000.0,544300000.0,0.0651,0.9896,1.063e-15
2.0,2439.0,2.436e-06,2.031e-08,141000.0,9.87,1456000000.0,1742000000.0,0.06674,0.9752,3.404e-15
3.0,2430.0,2.44e-06,2.162e-08,89100.0,9.82,2290000000.0,2705000000.0,0.06684,0.9614,5.356e-15
4.0,2416.0,2.45e-06,2.492e-08,50000.0,9.76,4112000000.0,4539000000.0,0.06713,0.9318,9.615e-15
5.0,2409.0,2.458e-06,2.737e-08,36500.0,9.73,5532000000.0,6065000000.0,0.06734,0.9091,1.294e-14
6.0,2405.0,2.463e-06,2.914e-08,30000.0,9.71,6652000000.0,7210000000.0,0.06749,0.8914,1.555e-14
7.0,2400.0,2.473e-06,3.166e-08,26700.0,9.7,7443000000.0,7971000000.0,0.06775,0.8791,1.741e-14
8.0,2395.0,2.483e-06,3.444e-08,24000.0,9.68,8263000000.0,8710000000.0,0.06803,0.8669,1.932e-14
9.0,2375.0,2.523e-06,4.633e-08,23100.0,9.64,8718000000.0,9118000000.0,0.06913,0.863,2.039e-14
10.0,2345.0,2.586e-06,6.49e-08,22800.0,9.49,9087000000.0,9472000000.0,0.07084,0.8649,2.124e-14
11.0,2300.0,2.684e-06,9.399e-08,22600.0,9.33,9560000000.0,9934000000.0,0.07353,0.8677,2.236e-14
12.0,2240.0,2.823e-06,1.35e-07,22400.0,9.08,10220000000.0,10580000000.0,0.07734,0.8726,2.391e-14
13.0,2190.0,2.947e-06,1.713e-07,22100.0,8.87,10890000000.0,11200000000.0,0.08073,0.8759,2.546e-14
14.0,2164.0,3.014e-06,1.91e-07,21700.0,8.81,11370000000.0,11620000000.0,0.08258,0.8751,2.658e-14
15.0,2154.0,3.042e-06,1.99e-07,20700.0,8.78,12050000000.0,12110000000.0,0.08335,0.8697,2.818e-14
16.0,2150.0,3.055e-06,2.023e-07,18200.0,8.77,13800000000.0,13190000000.0,0.08369,0.8517,3.227e-14
17.0,2146.0,3.07e-06,2.063e-07,12300.0,8.74,20440000000.0,16300000000.0,0.08412,0.783,4.78e-14
18.0,2143.0,3.085e-06,2.097e-07,10700.0,8.73,23420000000.0,17380000000.0,0.08453,0.7537,5.476e-14
19.0,2141.0,3.097e-06,2.121e-07,9500.0,8.71,26130000000.0,18290000000.0,0.08485,0.7269,6.11e-14
20.0,2126.0,3.199e-06,2.313e-07,8150.0,8.6,31460000000.0,19120000000.0,0.08764,0.6896,7.356e-14
21.0,2114.0,3.292e-06,2.471e-07,7600.0,8.55,34760000000.0,19420000000.0,0.0902,0.6706,8.128e-14
22.0,2096.0,3.448e-06,2.711e-07,7150.0,8.5,38880000000.0,19650000000.0,0.09446,0.6523,9.092e-14
23.0,2074.0,3.661e-06,3.009e-07,6800.0,8.42,43770000000.0,20060000000.0,0.1003,0.6383,1.024e-13
24.0,2040.0,4.038e-06,3.485e-07,6620.0,8.22,51020000000.0,20820000000.0,0.1106,0.6356,1.193e-13
25.0,1990.0,4.703e-06,4.22e-07,6460.0,8.01,63130000000.0,21950000000.0,0.1289,0.6325,1.476e-13
26.0,1915.0,6.011e-06,5.403e-07,6340.0,7.63,87610000000.0,23670000000.0,0.1647,0.6379,2.049e-13
27.0,1785.0,9.669e-06,7.766e-07,6180.0,6.92,160600000000.0,28370000000.0,0.2649,0.6605,3.756e-13
28.0,1605.0,2.076e-05,1.19e-06,6080.0,5.85,407300000000.0,35270000000.0,0.5687,0.7134,9.525e-13
29.0,1505.0,3.353e-05,1.485e-06,6030.0,5.26,712800000000.0,42470000000.0,0.9186,0.749,1.667e-12
30.0,1380.0,6.445e-05,1.944e-06,5990.0,4.51,1505000000000.0,47070000000.0,1.766,0.7973,3.519e-12
31.0,1280.0,0.0001135,2.372e-06,5945.0,3.92,2838000000000.0,45850000000.0,3.109,0.836,6.636e-12
32.0,1205.0,0.0001781,2.757e-06,5880.0,3.48,4676000000000.0,51150000000.0,4.879,0.8643,1.094e-11
33.0,1080.0,0.0003954,3.701e-06,5790.0,2.73,11170000000000.0,55720000000.0,10.83,0.9102,2.611e-11
34.0,980.0,0.0007821,4.926e-06,5650.0,2.14,23460000000000.0,57040000000.0,21.43,0.9414,5.486e-11
35.0,905.0,0.00134,6.397e-06,5530.0,1.7,41990000000000.0,57590000000.0,36.72,0.9614,9.819e-11
36.0,855.0,0.001947,7.828e-06,5370.0,1.53,63260000000000.0,55150000000.0,53.36,0.9675,1.479e-10
37.0,755.0,0.004301,1.256e-05,5000.0,1.23,151600000000000.0,48690000000.0,117.8,0.9772,3.546e-10
38.0,705.0,0.006577,1.677e-05,4740.0,1.09,245600000000000.0,47720000000.0,180.2,0.9811,5.742e-10
39.0,655.0,0.01034,2.484e-05,4430.0,0.96,414600000000000.0,60360000000.0,283.4,0.9842,9.694e-10
40.0,605.0,0.01686,4.763e-05,4110.0,0.83,730500000000000.0,92880000000.0,461.8,0.9873,1.708e-09
41.0,560.0,0.02696,0.0001126,3930.0,0.7,1226000000000000.0,141300000000.0,738.6,0.9905,2.866e-09
42.0,510.0,0.0461,0.0003214,3900.0,0.6,2118000000000000.0,226000000000.0,1263.0,0.9929,4.952e-09
43.0,450.0,0.08745,0.001063,4000.0,0.53,3923000000000000.0,400500000000.0,2396.0,0.9946,9.174e-09
44.0,350.0,0.2413,0.00597,4330.0,0.52,1e+16,1035000000000.0,6611.0,0.9952,2.34e-08
45.0,250.0,0.612,0.02767,4720.0,0.63,2.324e+16,2593000000000.0,16770.0,0.9936,5.435e-08
46.0,150.0,1.429,0.113,5165.0,1.0,4.919e+16,6406000000000.0,39160.0,0.9853,1.15e-07
47.0,100.0,2.115,0.2209,5450.0,1.2,6.86e+16,10590000000000.0,57940.0,0.9801,1.604e-07
48.0,50.0,3.052,0.4387,5840.0,1.4,9.188e+16,21150000000000.0,83610.0,0.9748,2.149e-07
49.0,0.0,4.272,0.9905,6420.0,1.6,1.164e+17,64140000000000.0,117000.0,0.9702,2.723e-07
50.0,-25.0,4.983,1.673,6910.0,1.7,1.259e+17,154200000000000.0,136500.0,0.9688,2.945e-07
51.0,-50.0,5.738,3.317,7610.0,1.76,1.315e+17,463100000000000.0,157200.0,0.9697,3.075e-07
52.0,-75.0,6.523,7.396,8320.0,1.8,1.363e+17,1201000000000000.0,178700.0,0.9711,3.187e-07
